
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2001,1,2001-09-09,27-128,PHI,,STL,L 17-20,,,,,
2,2001,2,2001-09-23,27-142,PHI,@,SEA,W 27-3,0,,,,
3,2001,3,2001-09-30,27-149,PHI,,DAL,W 40-18,0,,,,
4,2001,4,2001-10-07,27-156,PHI,,ARI,L 20-21,,,,,
5,2001,5,2001-10-22,27-171,PHI,@,NYG,W 10-9,,,,,
6,2001,6,2001-10-28,27-177,PHI,,OAK,L 10-20,,,,,
7,2001,7,2001-11-04,27-184,PHI,@,ARI,W 21-7,2,,,,
8,2001,8,2001-11-11,27-191,PHI,,MIN,W 48-17,,,,,
9,2001,9,2001-11-18,27-198,PHI,@,DAL,W 36-3,1,1,3,3.00,0
10,2001,10,2001-11-25,27-205,PHI,,WAS,L 3-13,0,,,,
11,2001,11,2001-11-29,27-209,PHI,@,KAN,W 23-10,0,,,,
12,2001,12,2001-12-09,27-219,PHI,,SDG,W 24-14,1,1,11,11.00,0
13,2001,13,2001-12-16,27-226,PHI,@,WAS,W 20-6,,,,,
14,2001,14,2001-12-22,27-232,PHI,@,SFO,L 3-13,1,,,,
15,2001,15,2001-12-30,27-240,PHI,,NYG,W 24-21,0,,,,
16,2001,16,2002-01-06,27-247,PHI,@,TAM,W 17-13,0,,,,
,,,16 Games,,,,,11-5-0,5,2,14,7.00,0
