
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,22-333,CIN,@,OAK,W 33-13,0,0,0,,0
2,2015,2,2015-09-20,22-340,CIN,,SDG,W 24-19,0,0,0,,0
3,2015,3,2015-09-27,22-347,CIN,@,BAL,W 28-24,0,0,0,,0
4,2015,4,2015-10-04,22-354,CIN,,KAN,W 36-21,0,0,0,,0
5,2015,5,2015-10-11,22-361,CIN,,SEA,W 27-24,0,0,0,,0
6,2015,6,2015-10-18,23-003,CIN,@,BUF,W 34-21,0,0,0,,0
7,2015,7,2015-11-01,23-017,CIN,@,PIT,W 16-10,0,0,0,,0
8,2015,8,2015-11-05,23-021,CIN,,CLE,W 31-10,0,0,0,,0
9,2015,9,2015-11-16,23-032,CIN,,HOU,L 6-10,0,0,0,,0
10,2015,10,2015-11-22,23-038,CIN,@,ARI,L 31-34,1,0,0,,0
11,2015,11,2015-11-29,23-045,CIN,,STL,W 31-7,1,1,4,4.00,0
,,,11 Games,,,,,9-2-0,2,1,4,4.00,0
