
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2013,1,2013-09-08,22-202,MIA,@,CLE,W 23-10,,,,,,,
2,2013,2,2013-09-15,22-209,MIA,@,IND,W 24-20,,,,,,,
3,2013,3,2013-09-22,22-216,MIA,,ATL,W 27-23,1,1,1,1.00,1,1,6
4,2013,4,2013-09-30,22-224,MIA,@,NOR,L 17-38,1,0,0,,0,0,0
5,2013,5,2013-10-06,22-230,MIA,,BAL,L 23-26,,,,,,,
6,2013,6,2013-10-20,22-244,MIA,,BUF,L 21-23,,,,,,,
7,2013,7,2013-10-27,22-251,MIA,@,NWE,L 17-27,2,1,4,4.00,0,0,0
8,2013,9,2013-11-11,22-266,MIA,@,TAM,L 19-22,,,,,,,
9,2013,10,2013-11-17,22-272,MIA,,SDG,W 20-16,,,,,,,
10,2013,11,2013-11-24,22-279,MIA,,CAR,L 16-20,1,1,6,6.00,0,0,0
11,2013,12,2013-12-01,22-286,MIA,@,NYJ,W 23-3,2,1,8,8.00,0,0,0
12,2013,13,2013-12-08,22-293,MIA,@,PIT,W 34-28,2,1,7,7.00,0,0,0
13,2013,14,2013-12-15,22-300,MIA,,NWE,W 24-20,1,1,6,6.00,0,0,0
14,2013,15,2013-12-22,22-307,MIA,@,BUF,L 0-19,,,,,,,
15,2013,16,2013-12-29,22-314,MIA,,NYJ,L 7-20,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
16,2014,1,2014-09-07,23-201,MIA,,NWE,W 33-20,3,1,9,9.00,0,0,0
17,2014,2,2014-09-14,23-208,MIA,@,BUF,L 10-29,2,0,0,,0,0,0
18,2014,3,2014-09-21,23-215,MIA,,KAN,L 15-34,1,0,0,,0,0,0
19,2014,4,2014-09-28,23-222,MIA,@,OAK,W 38-14,2,1,18,18.00,1,1,6
20,2014,5,2014-10-12,23-236,MIA,,GNB,L 24-27,2,1,5,5.00,0,0,0
21,2014,6,2014-10-19,23-243,MIA,@,CHI,W 27-14,2,2,33,16.50,0,0,0
22,2014,7,2014-10-26,23-250,MIA,@,JAX,W 27-13,2,2,51,25.50,0,0,0
23,2014,10,2014-11-13,23-268,MIA,,BUF,W 22-9,2,2,11,5.50,0,0,0
24,2014,11,2014-11-23,23-278,MIA,@,DEN,L 36-39,5,4,31,7.75,0,0,0
25,2014,12,2014-12-01,23-286,MIA,@,NYJ,W 16-13,4,4,58,14.50,0,0,0
26,2014,13,2014-12-07,23-292,MIA,,BAL,L 13-28,3,2,18,9.00,0,0,0
27,2014,14,2014-12-14,23-299,MIA,@,NWE,L 13-41,1,0,0,,0,0,0
28,2014,15,2014-12-21,23-306,MIA,,MIN,W 37-35,3,3,35,11.67,1,1,6
29,2014,16,2014-12-28,23-313,MIA,,NYJ,L 24-37,4,2,15,7.50,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
30,2015,1,2015-09-13,24-207,MIA,@,WAS,W 17-10,1,0,0,,0,0,0
31,2015,5,2015-10-18,24-242,MIA,@,TEN,W 38-10,4,4,33,8.25,1,1,6
32,2015,6,2015-10-25,24-249,MIA,,HOU,W 44-26,2,1,-3,-3.00,0,0,0
33,2015,7,2015-10-29,24-253,MIA,@,NWE,L 7-36,1,1,6,6.00,0,0,0
34,2015,8,2015-11-08,24-263,MIA,@,BUF,L 17-33,3,1,9,9.00,0,0,0
35,2015,9,2015-11-15,24-270,MIA,@,PHI,W 20-19,1,1,8,8.00,0,0,0
36,2015,10,2015-11-22,24-277,MIA,,DAL,L 14-24,0,0,0,,0,0,0
37,2015,11,2015-11-29,24-284,MIA,@,NYJ,L 20-38,1,1,-1,-1.00,0,0,0
,,,37 Games,,,,,18-19-0,59,39,368,9.44,4,4,24
