
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-14,24-038,SFO,,MIN,W 20-3,0,0,0,,0
2,2015,2,2015-09-20,24-044,SFO,@,PIT,L 18-43,3,1,11,11.00,0
3,2015,3,2015-09-27,24-051,SFO,@,ARI,L 7-47,1,1,0,0.00,0
4,2015,4,2015-10-04,24-058,SFO,,GNB,L 3-17,0,0,0,,0
5,2015,5,2015-10-11,24-065,SFO,@,NYG,L 27-30,1,1,6,6.00,0
6,2015,6,2015-10-18,24-072,SFO,,BAL,W 25-20,0,0,0,,0
7,2015,9,2015-11-08,24-093,SFO,,ATL,W 17-16,0,0,0,,0
8,2015,10,2015-11-22,24-107,SFO,@,SEA,L 13-29,0,0,0,,0
9,2015,11,2015-11-29,24-114,SFO,,ARI,L 13-19,3,3,67,22.33,0
,,,9 Games,,,,,3-6-0,8,6,84,14.00,0
