
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,23-033,CLE,@,NYJ,L 10-31,2,2,14,7.00,0
2,2015,2,2015-09-20,23-040,CLE,,TEN,W 28-14,1,0,0,,0
3,2015,3,2015-09-27,23-047,CLE,,OAK,L 20-27,0,0,0,,0
4,2015,4,2015-10-04,23-054,CLE,@,SDG,L 27-30,0,0,0,,0
5,2015,5,2015-10-11,23-061,CLE,@,BAL,W 33-30,0,0,0,,0
6,2015,6,2015-10-18,23-068,CLE,,DEN,L 23-26,1,1,0,0.00,0
7,2015,7,2015-10-25,23-075,CLE,@,STL,L 6-24,0,0,0,,0
8,2015,8,2015-11-01,23-082,CLE,,ARI,L 20-34,0,0,0,,0
9,2015,9,2015-11-05,23-086,CLE,@,CIN,L 10-31,0,0,0,,0
10,2015,10,2015-11-15,23-096,CLE,@,PIT,L 9-30,0,0,0,,0
,,,10 Games,,,,,2-8-0,4,3,14,4.67,0
