
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,22-323,KAN,@,HOU,W 27-20,0,0,0,,0,0,0
2,2015,2,2015-09-17,22-327,KAN,,DEN,L 24-31,0,0,0,,0,0,0
3,2015,3,2015-09-28,22-338,KAN,@,GNB,L 28-38,1,1,16,16.00,0,0,0
4,2015,4,2015-10-04,22-344,KAN,@,CIN,L 21-36,7,2,53,26.50,0,0,0
5,2015,5,2015-10-11,22-351,KAN,,CHI,L 17-18,3,1,6,6.00,0,0,0
6,2015,6,2015-10-18,22-358,KAN,@,MIN,L 10-16,7,3,16,5.33,0,0,0
7,2015,7,2015-10-25,23-000,KAN,,PIT,W 23-13,7,6,63,10.50,1,1,6
8,2015,8,2015-11-01,23-007,KAN,,DET,W 45-10,1,1,6,6.00,0,0,0
9,2015,9,2015-11-15,23-021,KAN,@,DEN,W 29-13,0,0,0,,0,0,0
10,2015,10,2015-11-22,23-028,KAN,@,SDG,W 33-3,1,1,17,17.00,0,0,0
11,2015,11,2015-11-29,23-035,KAN,,BUF,W 30-22,1,0,0,,0,0,0
,,,11 Games,,,,,6-5-0,28,15,177,11.80,1,,6
