
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,22-236,MIA,@,WAS,W 17-10,0,0,0,,0,0,0
2,2015,2,2015-09-20,22-243,MIA,@,JAX,L 20-23,1,1,3,3.00,0,0,0
3,2015,3,2015-09-27,22-250,MIA,,BUF,L 14-41,7,3,46,15.33,0,0,0
4,2015,4,2015-10-04,22-257,MIA,,NYJ,L 14-27,0,0,0,,0,0,0
5,2015,5,2015-10-18,22-271,MIA,@,TEN,W 38-10,0,0,0,,0,0,0
6,2015,6,2015-10-25,22-278,MIA,,HOU,W 44-26,0,0,0,,0,0,0
7,2015,7,2015-10-29,22-282,MIA,@,NWE,L 7-36,0,0,0,,0,0,0
8,2015,9,2015-11-15,22-299,MIA,@,PHI,W 20-19,0,0,0,,0,0,0
9,2015,10,2015-11-22,22-306,MIA,,DAL,L 14-24,0,0,0,,0,0,0
10,2015,11,2015-11-29,22-313,MIA,@,NYJ,L 20-38,10,4,80,20.00,1,1,6
,,,10 Games,,,,,4-6-0,18,8,129,16.13,1,,6
