
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-14,22-113,PHI,@,ATL,L 24-26,2,1,5,5.00,0
2,2015,2,2015-09-20,22-119,PHI,,DAL,L 10-20,6,3,31,10.33,0
3,2015,3,2015-09-27,22-126,PHI,@,NYJ,W 24-17,4,0,0,,0
4,2015,4,2015-10-04,22-133,PHI,@,WAS,L 20-23,4,3,64,21.33,0
5,2015,5,2015-10-11,22-140,PHI,,NOR,W 39-17,1,1,5,5.00,0
6,2015,9,2015-11-15,22-175,PHI,,MIA,L 19-20,4,3,32,10.67,0
7,2015,10,2015-11-22,22-182,PHI,,TAM,L 17-45,4,3,11,3.67,0
8,2015,11,2015-11-26,22-186,PHI,@,DET,L 14-45,2,2,15,7.50,0
,,,8 Games,,,,,2-6-0,27,16,163,10.19,0
