
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,22-331,NOR,@,ARI,L 19-31,3,1,63,63.00,0,0,0
2,2015,2,2015-09-20,22-338,NOR,,TAM,L 19-26,6,4,44,11.00,1,1,6
3,2015,3,2015-09-27,22-345,NOR,@,CAR,L 22-27,7,5,44,8.80,0,0,0
4,2015,4,2015-10-04,22-352,NOR,,DAL,W 26-20,6,6,89,14.83,0,0,0
5,2015,5,2015-10-11,22-359,NOR,@,PHI,L 17-39,11,6,141,23.50,0,0,0
6,2015,6,2015-10-15,22-363,NOR,,ATL,W 31-21,5,4,55,13.75,0,0,0
7,2015,7,2015-10-25,23-008,NOR,@,IND,W 27-21,7,3,25,8.33,0,0,0
8,2015,8,2015-11-01,23-015,NOR,,NYG,W 52-49,8,6,70,11.67,2,2,12
9,2015,9,2015-11-08,23-022,NOR,,TEN,L 28-34,10,6,95,15.83,0,0,0
10,2015,10,2015-11-15,23-029,NOR,@,WAS,L 14-47,1,0,0,,0,0,0
11,2015,11,2015-11-29,23-043,NOR,@,HOU,L 6-24,8,4,50,12.50,0,0,0
,,,11 Games,,,,,4-7-0,72,45,676,15.02,3,,18
