
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2014,1,2014-09-07,23-181,PIT,,CLE,W 30-27,4,3,38,12.67,0
2,2014,2,2014-09-11,23-185,PIT,@,BAL,L 6-26,4,1,6,6.00,0
3,2014,3,2014-09-21,23-195,PIT,@,CAR,W 37-19,4,2,10,5.00,0
4,2014,4,2014-09-28,23-202,PIT,,TAM,L 24-27,2,1,5,5.00,0
5,2014,5,2014-10-05,23-209,PIT,@,JAX,W 17-9,3,3,26,8.67,0
6,2014,6,2014-10-12,23-216,PIT,@,CLE,L 10-31,4,2,9,4.50,0
7,2014,10,2014-11-09,23-244,PIT,@,NYJ,L 13-20,,,,,
8,2014,11,2014-11-17,23-252,PIT,@,TEN,W 27-24,,,,,
,,,8 Games,,,,,4-4-0,21,12,94,7.83,0
