
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,23-083,NOR,@,ARI,L 19-31,7,4,41,10.25,1,1,6
2,2015,2,2015-09-20,23-090,NOR,,TAM,L 19-26,6,3,33,11.00,0,0,0
3,2015,3,2015-09-27,23-097,NOR,@,CAR,L 22-27,3,1,9,9.00,0,0,0
4,2015,4,2015-10-04,23-104,NOR,,DAL,W 26-20,1,1,30,30.00,0,0,0
5,2015,5,2015-10-11,23-111,NOR,@,PHI,L 17-39,1,0,0,,0,0,0
6,2015,6,2015-10-15,23-115,NOR,,ATL,W 31-21,1,0,0,,0,0,0
7,2015,7,2015-10-25,23-125,NOR,@,IND,W 27-21,1,1,24,24.00,0,0,0
8,2015,8,2015-11-01,23-132,NOR,,NYG,W 52-49,1,1,14,14.00,0,0,0
9,2015,9,2015-11-08,23-139,NOR,,TEN,L 28-34,3,2,58,29.00,0,0,0
10,2015,10,2015-11-15,23-146,NOR,@,WAS,L 14-47,1,1,14,14.00,0,0,0
11,2015,11,2015-11-29,23-160,NOR,@,HOU,L 6-24,1,0,0,,0,0,0
,,,11 Games,,,,,4-7-0,26,14,223,15.93,1,,6
