
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,23-246,NYG,@,DAL,L 26-27,0,0,0,,0
2,2015,2,2015-09-20,23-253,NYG,,ATL,L 20-24,1,1,5,5.00,0
3,2015,3,2015-09-24,23-257,NYG,,WAS,W 32-21,0,0,0,,0
4,2015,4,2015-10-04,23-267,NYG,@,BUF,W 24-10,0,0,0,,0
5,2015,5,2015-10-11,23-274,NYG,,SFO,W 30-27,1,1,16,16.00,0
6,2015,6,2015-10-19,23-282,NYG,@,PHI,L 7-27,1,0,0,,0
7,2015,7,2015-10-25,23-288,NYG,,DAL,W 27-20,0,0,0,,0
8,2015,8,2015-11-01,23-295,NYG,@,NOR,L 49-52,0,0,0,,0
9,2015,9,2015-11-08,23-302,NYG,@,TAM,W 32-18,0,0,0,,0
10,2015,10,2015-11-15,23-309,NYG,,NWE,L 26-27,0,0,0,,0
,,,10 Games,,,,,5-5-0,3,2,21,10.50,0
